group	subject	delta1	theta1	beta1	lgamma1	hgamma1	delta2	theta2	beta2	lgamma2	hgamma2
0	2875501	14.0383	18.9131	20.0378	15.9505	10.3332	12.9014	20.3637	22.3739	28.9935	18.841
0	2875504	32.5061	47.2929	43.7664	45.389	44.4908	28.672	37.9415	42.7855	58.9333	71.9593
1	2875505	28.6885	50.2367	52.2051	53.4469	42.2194	19.4426	52.5017	51.6929	76.767	59.01
1	2875507	38.9578	64.6711	59.0411	66.7733	57.3704	29.8276	64.5463	58.5289	86.4846	79.6721
0	2881801	45.0347	42.7437	51.7229	54.0747	45.6955	29.3221	43.6678	57.4563	74.6639	60.119
1	2881802	42.7426	56.0651	58.4264	70.9871	58.4276	27.6853	53.5872	64.2761	95.6846	77.3632
1	2881803	41.2343	63.0074	67.6985	92.6892	72.3746	34.0904	71.2833	77.6509	121.361	93.1455
0	2881807	36.2434	47.2693	57.2875	78.3047	63.8004	27.7138	57.9583	64.8926	101.399	81.4704
1	2885202	45.8205	78.9859	88.1086	92.5184	71.998	34.1372	68.622	74.4487	113.718	88.2121
1	2885207	53.3628	108.166	101.502	105.849	76.7507	40.8699	101.324	107.468	162.708	107.664
0	2890304	41.7665	54.0804	53.3487	55.4025	50.8022	27.2146	42.2439	46.5853	65.8477	60.0374
1	2890308	47.5603	81.2544	84.1582	89.4988	80.003	39.4821	84.1245	92.3634	118.04	99.8392
0	2904403	42.6556	60.5643	62.4048	64.4348	54.0225	42.226	52.1599	60.3241	83.5638	69.4536
0	2904407	54.7229	94.0944	102.041	107.328	80.2786	45.4069	75.6213	76.676	122.276	100.697
1	2904408	57.5948	91.4369	86.6909	90.8702	73.2802	38.3006	81.7714	85.7636	120.113	96.7173
